Cn,#C,#iso,E(6-311G*)(Har),HOMO(eV),LUMO(eV),HOMO-LUMO(eV),dipole-X(D),dipole-Y(D),dipole-Z(D),dipole-Tot(D),E(gas)(Har),E(water)(Har),E(dichlorobenzene)(Har),E_binding(eV),E_atomization(eV),Gsol(water)(kJ/mol),Gsol(dichlorobenzene)(kJ/mol),DDGsol(kJ/mol),logP(dichlorobenzene)
c70,70,1792,-2667.61336891,-5.76609,-4.6575,1.10859,-1.7601,-0.537,0.2286,1.8543,-2667.61336891,-2667.63394341,-2667.68320018,-6.878327221142147,-481.483,-54.0183497495766,-183.34199938412758,-129.32364963455097,22.64291485764553
c70,70,1848,-2667.58654923,-5.72691,-4.58947,1.13744,0.2554,-0.6534,-0.1629,0.7202,-2667.58654923,-2667.60672317,-2667.65616467,-6.867901499657065,-480.753,-52.96667946986781,-182.77533772061497,-129.80865825074716,22.727833655040964
c70,70,1876,-2667.62213503,-5.57452,-4.56607,1.00845,0.3384,0.3745,0.0843,0.5117,-2667.62213503,-2667.64173318,-2667.69122863,-6.881734910034333,-481.721,-51.45494282404911,-181.4052467990357,-129.95030397498658,22.752634007358317
c70,70,1937,-2667.58015136,-5.75793,-4.78104,0.976889,0.4718,-0.1402,0.0899,0.5003,-2667.58015136,-2667.60004848,-2667.64946499,-6.865414430060495,-480.579,-52.23988856058645,-181.98293556532622,-129.74304700473976,22.71634596612059
c70,70,2066,-2667.63414161,-5.68419,-4.66866,1.01553,2.9551,-0.2277,-0.1686,2.9687,-2667.63414161,-2667.65577302,-2667.70474009,-6.88640227590384,-482.048,-56.79326695574014,-185.3563092404504,-128.56304228471026,22.50974225146553
c70,70,2101,-2667.63477991,-5.6967,-4.62131,1.07539,-0.8703,-0.0488,-0.2289,0.9012,-2667.63477991,-2667.65529446,-2667.7045489,-6.886650404815993,-482.066,-53.86095102477998,-183.1784832457463,-129.3175322209663,22.641843776869987
c70,70,2106,-2667.57982659,-5.55629,-4.66349,0.892805,-2.1358,0.1234,-0.4131,2.1789,-2667.57982659,-2667.60144158,-2667.65044568,-6.865288180919103,-480.57,-56.750156245568405,-185.4104207950959,-128.66026454952748,22.526764624950538
c70,70,2365,-2667.59513024,-5.71031,-4.47899,1.23131,0.9179,1.0125,0.1737,1.3776,-2667.59513024,-2667.61543525,-2667.66473522,-6.871237229998371,-480.987,-53.31080375474221,-182.7478749897232,-129.43707123498098,22.662773527338288
c70,70,2405,-2667.67666805,-5.61235,-4.49831,1.11403,-1.083,0.3381,0.4115,1.2069,-2667.67666805,-2667.69723658,-2667.74651864,-6.90293374903079,-483.205,-54.00267551557431,-183.3927240449666,-129.3900485293923,22.65454045378964
c70,70,2508,-2667.61886123,-5.65425,-4.71301,0.941242,-0.6464,-0.5079,-0.6196,1.0294,-2667.61886123,-2667.63902483,-2667.68847323,-6.880462272665099,-481.632,-52.93953179922596,-182.76630599941996,-129.826774200194,22.731005525785793
c70,70,2581,-2667.62693595,-5.66677,-4.56335,1.10342,-1.2754,0.3623,-0.0929,1.3291,-2667.62693595,-2667.64708601,-2667.69637459,-6.883601190869462,-481.852,-52.903982529082896,-182.31114931892148,-129.40716678983858,22.657537641967455
c70,70,2599,-2667.67489136,-5.81072,-4.96444,0.846274,-0.0,0.3104,-0.0,0.3104,-2667.67489136,-2667.69495245,-2667.74431613,-6.902243089220457,-483.157,-52.67039179533231,-182.27473363458353,-129.60434183925122,22.69206046798202
c70,70,2618,-2667.64405553,-5.6118,-4.75083,0.860968,0.9084,0.0884,1.0245,1.3721,-2667.64405553,-2667.66437934,-2667.71372731,-6.890256153681243,-482.318,-53.360163154498196,-182.92325839035493,-129.56309523585674,22.684838715955475
c70,70,2680,-2667.53699911,-5.66976,-4.50103,1.16873,-1.5087,0.3261,-0.0722,1.5453,-2667.53699911,-2667.55730687,-2667.60675588,-6.848639683309054,-479.405,-53.3180238797986,-183.14639963477066,-129.82837575497206,22.731285937516994
c70,70,3063,-2667.66342488,-5.51194,-4.65097,0.860968,-1.5339,0.645,1.073,1.98,-2667.66342488,-2667.6842728,-2667.73344528,-6.897785678584072,-482.845,-54.73621396013414,-183.8385601999364,-129.10234623980227,22.604167467364146
c70,70,3116,-2667.62629078,-5.72391,-4.62022,1.10369,0.8342,-0.6681,-0.3052,1.1115,-2667.62629078,-2667.6458837,-2667.69547894,-6.883350391354771,-481.835,-51.44121145979716,-181.6535140801759,-130.21230262037875,22.798506614860482
c70,70,3163,-2667.62416881,-5.74351,-4.61532,1.12818,1.2982,0.1081,0.7169,1.487,-2667.62416881,-2667.64430171,-2667.69367604,-6.8825255094687225,-481.777,-52.858928950354766,-182.49123236499804,-129.63230341464327,22.696956181741083
c70,70,3253,-2667.6117417,-5.74024,-4.4858,1.25444,-0.9035,0.4106,0.0849,0.9961,-2667.6117417,-2667.63193374,-2667.68129456,-6.877694669289998,-481.439,-53.01420101995677,-182.61103392981795,-129.59683290986118,22.690745750609512
c70,70,3315,-2667.59851368,-5.75766,-4.51736,1.24029,1.2363,-0.1093,0.0772,1.2435,-2667.59851368,-2667.61925728,-2667.66849008,-6.872552488163274,-481.079,-54.46232180015704,-183.72303820022807,-129.26071640007103,22.63189605424745
c70,70,3319,-2667.51085794,-5.62378,-4.67872,0.945051,1.4614,-0.9184,-0.1161,1.7299,-2667.51085794,-2667.53189234,-2667.5810594,-6.838477721729997,-478.693,-55.225817200497886,-184.313933230354,-129.0881160298561,22.601675939842863
c70,70,3374,-2667.60465396,-5.78623,-4.61315,1.17308,-0.0703,0.9575,-0.0289,0.9605,-2667.60465396,-2667.62435621,-2667.67389794,-6.874939423768936,-481.246,-51.72825737416497,-181.80006949002677,-130.0718121158618,22.773908526722124
c70,70,3651,-2667.61168671,-5.84936,-4.62403,1.22533,-0.8362,-0.3663,-0.0923,0.9176,-2667.61168671,-2667.63153349,-2667.68106925,-6.8776732928072954,-481.437,-52.10772089020975,-182.16385876968138,-130.05613787947163,22.77116416866353
c70,70,3691,-2667.58235529,-5.78977,-4.65913,1.13063,-1.2164,-0.2176,0.6865,1.4137,-2667.58235529,-2667.60289074,-2667.65230616,-6.866271172585085,-480.639,-53.91582397473098,-183.6560091848869,-129.74018521015591,22.715844902538752
c70,70,3763,-2667.54063257,-5.65452,-4.52552,1.129,-0.1653,-0.9575,0.4321,1.0634,-2667.54063257,-2667.56080406,-2667.61024758,-6.850052132748502,-479.504,-52.96024699483928,-182.7742087544209,-129.81396175958162,22.72876223151808
c70,70,3880,-2667.53224115,-5.68663,-4.9258,0.76083,-1.055,0.0001,-0.0001,1.055,-2667.53224115,-2667.55384815,-2667.60283085,-6.846790102486345,-479.275,-56.72917849914984,-185.33325734947584,-128.604078850326,22.51692722856688
c70,70,4022,-2667.62206262,-5.55711,-4.72988,0.827226,-1.5259,-0.6402,0.8218,1.8476,-2667.62206262,-2667.64275625,-2667.69193458,-6.881706761805399,-481.719,-54.33112556405854,-183.44883098000105,-129.1177054159425,22.606856662407818
c70,70,4107,-2667.69584677,-5.53452,-4.6224,0.912125,-1.0776,0.0134,-0.4639,1.1733,-2667.69584677,-2667.71578898,-2667.76517118,-6.9103891695714905,-483.727,-52.358272354878636,-182.0112384544966,-129.65296609961797,22.70057395326187
c70,70,4178,-2667.61396595,-5.78541,-4.6194,1.16601,-0.6558,-0.282,0.3669,0.8026,-2667.61396595,-2667.63408161,-2667.68343193,-6.878559310889403,-481.499,-52.813665330266076,-182.3829304903461,-129.56926516008002,22.68591899067136
c70,70,4268,-2667.61407169,-5.63956,-4.61532,1.02424,0.3261,0.6286,-0.1804,0.7307,-2667.61407169,-2667.6337997,-2667.6831795,-6.878600415622594,-481.502,-51.795890255283666,-181.44255515467876,-129.6466648993951,22.699470693799654
